# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2015)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Synthesized on Tue Jul 24 07:38:22 2018
# Molecular abundance atmprofile: Earth at 4084 m, NASA/MERRA 2017/01/02
# Molecules considered: H2O,CO2,O3,O2
# Molecular sources: HIT[1],HIT[2],HIT[3],HIT[7]
# Molecular abundances: 50,1,1,1
# Molecular abundance units: ppm,scl,scl,scl
# ------------------------------------------------------------------------
# Spectral unit: Frequency[GHz]
# Wave/freq Total H2O CO2 O3 O2
9.160000000e+02  0.00001  0.00001  1.00000  0.99876  0.99829
9.150000000e+02  0.02427  0.02439  1.00000  0.99726  0.99837
9.140000000e+02  0.14608  0.14655  1.00000  0.99817  0.99840
9.130000000e+02  0.31554  0.31663  1.00000  0.99819  0.99841
9.120000000e+02  0.44968  0.45606  1.00000  0.98763  0.99840
9.110000000e+02  0.54968  0.55247  1.00000  0.99657  0.99839
9.100000000e+02  0.61331  0.61837  1.00000  0.99344  0.99837
9.090000000e+02  0.62280  0.66162  1.00000  0.94354  0.99835
9.080000000e+02  0.60089  0.68736  1.00000  0.87497  0.99832
9.070000000e+02  0.67524  0.68280  1.00000  0.99061  0.99828
9.060000000e+02  0.64506  0.64979  1.00000  0.99435  0.99824
9.050000000e+02  0.72561  0.73043  1.00000  0.99524  0.99819
9.040000000e+02  0.75367  0.75757  1.00000  0.99671  0.99813
9.030000000e+02  0.76201  0.76529  1.00000  0.99765  0.99805
9.020000000e+02  0.77261  0.77853  1.00000  0.99441  0.99795
9.010000000e+02  0.77461  0.78939  1.00000  0.98342  0.99779
9.000000000e+02  0.78807  0.79109  1.00000  0.99862  0.99755
8.990000000e+02  0.78520  0.78853  1.00000  0.99865  0.99712
8.980000000e+02  0.79879  0.80370  1.00000  0.99770  0.99618
8.970000000e+02  0.79703  0.80711  1.00000  0.99373  0.99374
8.960000000e+02  0.72021  0.79741  1.00000  0.91950  0.98228
8.950000000e+02  0.73066  0.79180  1.00000  0.99218  0.93008
8.940000000e+02  0.67915  0.69864  1.00000  0.98644  0.98629
8.930000000e+02  0.74983  0.75624  1.00000  0.99753  0.99386
8.920000000e+02  0.80651  0.81122  1.00000  0.99803  0.99615
8.910000000e+02  0.82177  0.82643  1.00000  0.99747  0.99689
8.900000000e+02  0.82833  0.83307  1.00000  0.99708  0.99721
8.890000000e+02  0.82785  0.83836  1.00000  0.99009  0.99736
8.880000000e+02  0.76355  0.84166  1.00000  0.90951  0.99742
8.870000000e+02  0.78607  0.84443  1.00000  0.93326  0.99743
8.860000000e+02  0.80837  0.84674  1.00000  0.95711  0.99742
